DRINKS,OLD_STOCK,SUPPLY ,TOTAL_OLDSTOCK,NEWSTOCK,SOLD,PURCHASEPRICE,TOTALAMOUNT_PP,SELLINGPRICE,TOTALAMOUNT_SP,PROFIT,DATE
Trophy,22,0,22,8,14,417,5838,600,8400,2562,2/24/2024
Hero,0,12,12,7,5,417,2085,600,3000,915,2/24/2024
Legend,7,0,7,7,0,667,0,900,0,0,2/24/2024
Burdwieser,4,0,4,4,0,567,0,800,0,0,2/24/2024
Heineken,10,0,10,8,2,667,1334,1000,2000,666,2/24/2024
Despirado,21,0,21,20,1,540,540,800,800,260,2/24/2024
M/Stout,10,0,10,8,2,583,1166,800,1600,434,2/24/2024
Smooth,10,0,10,10,0,583,0,800,0,0,2/24/2024
Goldberg,15,0,15,15,0,433,0,600,0,0,2/24/2024
Origin Beer,11,0,11,11,0,517,0,600,0,0,2/24/2024
B/Ice,9,0,9,8,1,667,667,900,900,233,2/24/2024
Goldberg/Black,14,0,14,14,0,0,0,700,0,0,2/24/2024
Tiger,19,0,19,17,2,435,870,600,1200,330,2/24/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/24/2024
Star Ragler,20,0,20,20,0,390,0,600,0,0,2/24/2024
Star,1,0,1,1,0,517,0,700,0,0,2/24/2024
Star lite,6,0,6,3,3,517,1551,600,1800,249,2/24/2024
Life,0,0,0,0,0,417,0,600,0,0,2/24/2024
Gulder,6,0,6,6,0,542,0,700,0,0,2/24/2024
Flying fish,21,0,21,21,0,350,0,600,0,0,2/24/2024
Trophy stout,12,0,12,10,2,542,1084,700,1400,316,2/24/2024
Malt,22,0,22,17,5,333,1665,400,2000,335,2/24/2024
Fayrouz,10,0,10,7,3,300,900,400,1200,300,2/24/2024
Trophy,8,12,20,7,13,417,5421,600,7800,2379,2/25/2024
Hero,7,12,19,13,6,417,2502,600,3600,1098,2/25/2024
Legend,7,0,7,5,2,667,1334,900,1800,466,2/25/2024
Burdwieser,4,0,4,4,0,567,0,800,0,0,2/25/2024
Heineken,8,0,8,6,2,667,1334,1000,2000,666,2/25/2024
Despirado,20,0,20,19,1,540,540,800,800,260,2/25/2024
M/Stout,8,0,8,0,8,583,4664,900,7200,2536,2/25/2024
Smooth,10,0,10,9,1,583,583,900,900,317,2/25/2024
Goldberg,15,0,15,13,2,433,866,600,1200,334,2/25/2024
Origin Beer,11,0,11,11,0,517,0,600,0,0,2/25/2024
B/Ice,8,0,8,7,1,667,667,900,900,233,2/25/2024
Goldberg/Black,14,0,14,14,0,0,0,700,0,0,2/25/2024
Tiger,19,0,19,12,7,435,3045,600,4200,1155,2/25/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/25/2024
Star Ragler,20,0,20,18,2,390,780,600,1200,420,2/25/2024
Star,1,0,1,0,1,517,517,700,700,183,2/25/2024
Star lite,3,0,3,0,3,517,1551,600,1800,249,2/25/2024
Life,0,0,0,0,0,417,0,600,0,0,2/25/2024
Gulder,6,0,6,5,1,542,542,700,700,158,2/25/2024
Flying fish,21,0,21,21,0,350,0,600,0,0,2/25/2024
Trophy stout,10,0,10,8,2,542,1084,700,1400,316,2/25/2024
Malt,15,0,15,6,9,333,2997,500,4500,1503,2/25/2024
Fayrouz,7,0,7,5,2,300,600,400,800,200,2/25/2024
Trophy,7,36,43,7,36,417,15012,600,21600,6588,2/26/2024
Hero,13,12,25,0,25,417,10425,600,15000,4575,2/26/2024
Legend,5,12,17,10,7,667,4669,900,6300,1631,2/26/2024
Burdwieser,4,0,4,4,0,567,0,800,0,0,2/26/2024
Heineken,6,0,6,5,1,667,667,1000,1000,333,2/26/2024
Despirado,19,0,19,15,4,540,2160,800,3200,1040,2/26/2024
M/Stout,0,0,0,0,0,583,0,900,0,0,2/26/2024
Smooth,9,6,15,10,5,583,2915,900,4500,1585,2/26/2024
Goldberg,13,0,13,4,9,433,3897,600,5400,1503,2/26/2024
Origin Beer,11,0,11,10,1,517,517,600,600,83,2/26/2024
B/Ice,7,0,7,0,7,667,4669,900,6300,1631,2/26/2024
Goldberg/Black,14,0,14,12,2,0,0,700,1400,1400,2/26/2024
Tiger,12,0,12,7,5,435,2175,600,3000,825,2/26/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/26/2024
Star Ragler,18,0,18,14,4,390,1560,600,2400,840,2/26/2024
Star,0,12,12,10,2,517,1034,700,1400,366,2/26/2024
Star lite,0,0,0,0,0,517,0,600,0,0,2/26/2024
Life,0,0,0,0,0,417,0,600,0,0,2/26/2024
Gulder,5,0,5,5,0,542,0,700,0,0,2/26/2024
Flying fish,21,0,21,21,0,350,0,600,0,0,2/26/2024
Trophy stout,8,0,8,7,1,542,542,700,700,158,2/26/2024
Malt,6,24,30,10,20,333,6660,500,10000,3340,2/26/2024
Fayrouz,5,0,5,1,4,300,1200,400,1600,400,2/26/2024
Trophy,7,24,31,18,13,417,5421,600,7800,2379,2/27/2024
Hero,0,0,0,0,0,417,0,600,0,0,2/27/2024
Legend,10,0,10,8,2,667,1334,900,1800,466,2/27/2024
Burdwieser,4,0,4,2,2,567,1134,800,1600,466,2/27/2024
Heineken,5,0,5,5,0,667,0,1000,0,0,2/27/2024
Despirado,15,20,35,24,11,540,5940,800,8800,2860,2/27/2024
M/Stout,0,0,0,0,0,583,0,900,0,0,2/27/2024
Smooth,10,0,10,6,4,583,2332,900,3600,1268,2/27/2024
Goldberg,4,0,4,3,1,433,433,600,600,167,2/27/2024
Origin Beer,10,0,10,10,0,517,0,600,0,0,2/27/2024
B/Ice,0,12,12,10,2,667,1334,900,1800,466,2/27/2024
Goldberg/Black,0,0,0,0,0,0,0,700,0,0,2/27/2024
Tiger,7,0,7,6,1,435,435,600,600,165,2/27/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/27/2024
Star Ragler,14,0,14,8,6,390,2340,600,3600,1260,2/27/2024
Star,10,0,10,10,0,517,0,700,0,0,2/27/2024
Star lite,0,0,0,0,0,517,0,600,0,0,2/27/2024
Life,0,0,0,0,0,417,0,600,0,0,2/27/2024
Gulder,5,0,5,5,0,542,0,700,0,0,2/27/2024
Flying fish,0,0,0,0,0,350,0,600,0,0,2/27/2024
Trophy stout,7,0,7,7,0,542,0,700,0,0,2/27/2024
Malt,10,0,10,1,9,333,2997,500,4500,1503,2/27/2024
Fayrouz,1,0,1,0,1,300,300,400,400,100,2/27/2024
TROPHY,18,36,54,40,14,417,5838,600,8400,2562,2/28/2024
HERO,0,24,24,20,4,417,1668,600,2400,732,2/28/2024
LEGEND,8,0,8,8,0,667,0,900,0,0,2/28/2024
HEINEKEN,5,0,5,1,4,667,2668,1000,4000,1332,2/28/2024
DESPERADOS,24,0,24,19,5,540,2700,800,4000,1300,2/28/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,2/28/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,2/28/2024
GOLDBERG,3,12,15,14,1,433,433,600,600,167,2/28/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,2/28/2024
ORIGIN BEER,10,0,10,10,0,517,0,600,0,0,2/28/2024
BIG ICE,10,0,10,8,2,667,1334,900,1800,466,2/28/2024
TIGER,6,0,6,4,2,435,870,600,1200,330,2/28/2024
STAR RAGLER,8,0,8,8,0,390,0,600,0,0,2/28/2024
STAR ,10,0,10,10,0,517,0,700,0,0,2/28/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,2/28/2024
LIFE,0,12,12,12,0,417,0,600,0,0,2/28/2024
GULDER,5,0,5,5,0,542,0,700,0,0,2/28/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,2/28/2024
TROPHY STOUT,5,0,5,5,0,542,0,700,0,0,2/28/2024
MALT,1,24,25,17,8,333,2664,500,4000,1336,2/28/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,2/28/2024
BUDWEISER,2,0,2,1,1,567,567,800,800,233,2/28/2024
TROPHY,40,0,40,17,23,417,9591,600,13800,4209,2/29/2024
HERO,20,0,20,13,7,417,2919,600,4200,1281,2/29/2024
LEGEND,8,0,8,8,0,667,0,900,0,0,2/29/2024
HEINEKEN,1,12,13,9,4,667,2668,1000,4000,1332,2/29/2024
DESPERADOS,19,0,19,19,0,540,0,800,0,0,2/29/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,2/29/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,2/29/2024
GOLDBERG,14,0,14,13,1,433,433,600,600,167,2/29/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,2/29/2024
ORIGIN BEER,10,0,10,6,4,517,2068,600,2400,332,2/29/2024
BIG ICE,8,0,8,2,6,667,4002,900,5400,1398,2/29/2024
TIGER,4,0,4,2,2,435,870,600,1200,330,2/29/2024
STAR RAGLER,8,0,8,8,0,390,0,600,0,0,2/29/2024
STAR ,10,0,10,10,0,517,0,700,0,0,2/29/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,2/29/2024
LIFE,12,0,12,11,1,417,417,600,600,183,2/29/2024
GULDER,5,0,5,5,0,542,0,700,0,0,2/29/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,2/29/2024
TROPHY STOUT,5,0,5,3,2,542,1084,700,1400,316,2/29/2024
MALT,17,0,17,4,13,333,4329,500,6500,2171,2/29/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,2/29/2024
BUDWEISER,1,0,1,1,0,567,0,800,0,0,2/29/2024
TROPHY,17,24,41,1,40,417,16680,600,24000,7320,2/1/2024
HERO,13,12,25,7,18,417,7506,600,10800,3294,2/1/2024
LEGEND,5,0,5,3,2,667,1334,900,1800,466,2/1/2024
HEINEKEN,9,0,9,0,9,667,6003,1000,9000,2997,2/1/2024
DESPERADOS,19,0,19,11,8,540,4320,800,6400,2080,2/1/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,2/1/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,2/1/2024
GOLDBERG,13,0,13,13,0,433,0,600,0,0,2/1/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,2/1/2024
ORIGIN BEER,6,0,6,6,0,517,0,600,0,0,2/1/2024
BIG ICE,2,12,14,6,8,667,5336,900,7200,1864,2/1/2024
TIGER,2,0,2,2,0,435,0,600,0,0,2/1/2024
STAR RAGLER,8,0,8,8,0,390,0,600,0,0,2/1/2024
STAR ,10,0,10,10,0,517,0,700,0,0,2/1/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,2/1/2024
LIFE,11,0,11,5,6,417,2502,600,3600,1098,2/1/2024
GULDER,5,0,5,5,0,542,0,700,0,0,2/1/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,2/1/2024
TROPHY STOUT,3,0,3,1,2,542,1084,700,1400,316,2/1/2024
MALT,4,24,28,21,7,333,2331,500,3500,1169,2/1/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,2/1/2024
BUDWEISER,1,0,1,0,1,567,567,800,800,233,2/1/2024
TROPHY,1,0,1,0,1,417,417,600,600,183,3/1/2024
HERO,7,12,19,5,14,417,5838,600,8400,2562,3/1/2024
LEGEND,3,12,15,13,2,667,1334,900,1800,466,3/1/2024
HEINEKEN,0,12,12,10,2,667,1334,1000,2000,666,3/1/2024
DESPERADOS,11,0,11,5,6,540,3240,800,4800,1560,3/1/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,3/1/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,3/1/2024
GOLDBERG,13,0,13,6,7,433,3031,600,4200,1169,3/1/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/1/2024
ORIGIN BEER,6,0,6,6,0,517,0,600,0,0,3/1/2024
BIG ICE,6,0,6,3,3,667,2001,900,2700,699,3/1/2024
TIGER,2,0,2,2,0,435,0,600,0,0,3/1/2024
STAR RAGLER,8,0,8,7,1,390,390,600,600,210,3/1/2024
STAR ,10,0,10,10,0,517,0,700,0,0,3/1/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/1/2024
LIFE,5,12,17,6,11,417,4587,600,6600,2013,3/1/2024
GULDER,5,0,5,5,0,542,0,700,0,0,3/1/2024
FLYING FISH,21,0,21,19,2,350,700,600,1200,500,3/1/2024
TROPHY STOUT,1,0,1,1,0,542,0,700,0,0,3/1/2024
MALT,21,0,21,13,8,333,2664,500,4000,1336,3/1/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,3/1/2024
BUDWEISER,0,0,0,0,0,567,0,800,0,0,3/1/2024
TROPHY,0,24,24,3,21,417,8757,600,12600,3843,3/2/2024
HERO,5,0,5,1,4,417,1668,600,2400,732,3/2/2024
LEGEND,13,0,13,6,7,667,4669,900,6300,1631,3/2/2024
HEINEKEN,10,0,10,9,1,667,667,1000,1000,333,3/2/2024
DESPERADOS,5,0,5,5,0,540,0,800,0,0,3/2/2024
M/STOUT,0,18,18,15,3,583,1749,900,2700,951,3/2/2024
SMOOTH,6,0,6,5,1,583,583,900,900,317,3/2/2024
GOLDBERG,6,0,6,5,1,433,433,600,600,167,3/2/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/2/2024
ORIGIN BEER,6,0,6,4,2,517,1034,600,1200,166,3/2/2024
BIG ICE,3,0,3,0,3,667,2001,900,2700,699,3/2/2024
TIGER,2,20,22,16,6,435,2610,600,3600,990,3/2/2024
STAR RAGLER,7,0,7,7,0,390,0,600,0,0,3/2/2024
STAR ,10,0,10,10,0,517,0,700,0,0,3/2/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/2/2024
LIFE,6,0,6,6,0,417,0,600,0,0,3/2/2024
GULDER,5,0,5,5,0,542,0,700,0,0,3/2/2024
FLYING FISH,19,0,19,19,0,350,0,600,0,0,3/2/2024
TROPHY STOUT,1,0,1,1,0,542,0,700,0,0,3/2/2024
MALT,13,0,13,4,9,333,2997,500,4500,1503,3/2/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,3/2/2024
BUDWEISER,0,0,0,0,0,567,0,800,0,0,3/2/2024
TROPHY,3,48,51,6,45,417,18765,600,27000,8235,3/3/2024
HERO,1,0,1,0,1,417,417,600,600,183,3/3/2024
LEGEND,6,12,18,13,5,667,3335,900,4500,1165,3/3/2024
HEINEKEN,9,12,21,16,5,667,3335,1000,5000,1665,3/3/2024
DESPERADOS,5,0,5,0,5,540,2700,800,4000,1300,3/3/2024
M/STOUT,15,0,15,8,7,583,4081,900,6300,2219,3/3/2024
SMOOTH,5,0,5,5,0,583,0,900,0,0,3/3/2024
GOLDBERG,7,12,19,12,7,433,3031,600,4200,1169,3/3/2024
G/BLACK,0,5,5,3,2,0,0,700,1400,1400,3/3/2024
ORIGIN BEER,4,0,4,2,2,517,1034,600,1200,166,3/3/2024
BIG ICE,0,12,12,1,11,667,7337,900,9900,2563,3/3/2024
TIGER,16,0,16,4,12,435,5220,600,7200,1980,3/3/2024
STAR RAGLER,7,0,7,4,3,390,1170,600,1800,630,3/3/2024
STAR ,10,0,10,8,2,517,1034,700,1400,366,3/3/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/3/2024
LIFE,6,0,6,0,6,417,2502,600,3600,1098,3/3/2024
GULDER,5,0,5,0,5,542,2710,700,3500,790,3/3/2024
FLYING FISH,19,0,19,19,0,350,0,600,0,0,3/3/2024
TROPHY STOUT,1,0,1,0,1,542,542,700,700,158,3/3/2024
MALT,4,24,28,12,16,333,5328,500,8000,2672,3/3/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,3/3/2024
BUDWEISER,0,12,12,11,1,567,567,800,800,233,3/3/2024
TROPHY,6,24,30,12,18,417,7506,600,10800,3294,3/4/2024
HERO,0,0,0,0,0,417,0,600,0,0,3/4/2024
LEGEND,13,0,13,11,2,667,1334,900,1800,466,3/4/2024
HEINEKEN,16,0,16,16,0,667,0,1000,0,0,3/4/2024
DESPERADOS,0,20,20,9,11,540,5940,800,8800,2860,3/4/2024
M/STOUT,8,0,8,5,3,583,1749,900,2700,951,3/4/2024
SMOOTH,5,0,5,5,0,583,0,900,0,0,3/4/2024
GOLDBERG,12,0,12,5,7,433,3031,600,4200,1169,3/4/2024
G/BLACK,3,0,3,3,0,0,0,700,0,0,3/4/2024
ORIGIN BEER,2,0,2,1,1,517,517,600,600,83,3/4/2024
BIG ICE,1,12,13,13,0,667,0,900,0,0,3/4/2024
TIGER,4,20,24,20,4,435,1740,600,2400,660,3/4/2024
STAR RAGLER,4,0,4,3,1,390,390,600,600,210,3/4/2024
STAR ,8,0,8,4,4,517,2068,700,2800,732,3/4/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/4/2024
LIFE,0,12,12,9,3,417,1251,600,1800,549,3/4/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/4/2024
FLYING FISH,19,0,19,19,0,350,0,600,0,0,3/4/2024
TROPHY STOUT,0,0,0,0,0,542,0,700,0,0,3/4/2024
MALT,12,24,36,18,18,333,5994,500,9000,3006,3/4/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,3/4/2024
BUDWEISER,11,0,11,11,0,567,0,800,0,0,3/4/2024
TROPHY,6,24,30,14,16,417,6672,600,9600,2928,3/5/2024
HERO,0,0,0,0,0,417,0,600,0,0,3/5/2024
LEGEND,13,0,13,8,5,667,3335,900,4500,1165,3/5/2024
HEINEKEN,16,0,16,16,0,667,0,1000,0,0,3/5/2024
DESPERADOS,0,20,20,9,11,540,5940,800,8800,2860,3/5/2024
M/STOUT,8,0,8,6,2,583,1166,900,1800,634,3/5/2024
SMOOTH,5,0,5,5,0,583,0,900,0,0,3/5/2024
GOLDBERG,12,0,12,5,7,433,3031,600,4200,1169,3/5/2024
G/BLACK,3,0,3,3,0,0,0,700,0,0,3/5/2024
ORIGIN BEER,2,0,2,1,1,517,517,600,600,83,3/5/2024
BIG ICE,1,12,13,12,1,667,667,900,900,233,3/5/2024
TIGER,4,20,24,20,4,435,1740,600,2400,660,3/5/2024
STAR RAGLER,4,0,4,3,1,390,390,600,600,210,3/5/2024
STAR ,8,0,8,4,4,517,2068,700,2800,732,3/5/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/5/2024
LIFE,0,0,0,0,0,417,0,600,0,0,3/5/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/5/2024
FLYING FISH,19,0,19,19,0,350,0,600,0,0,3/5/2024
TROPHY STOUT,0,0,0,0,0,542,0,700,0,0,3/5/2024
MALT,12,24,36,18,18,333,5994,500,9000,3006,3/5/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,3/5/2024
BUDWEISER,11,0,11,11,0,567,0,800,0,0,3/5/2024
TROPHY,12,12,24,12,12,417,5004,600,7200,2196,3/6/2024
HERO,0,0,0,0,0,417,0,600,0,0,3/6/2024
LEGEND,8,0,8,7,1,667,667,900,900,233,3/6/2024
HEINEKEN,14,0,14,14,0,667,0,1000,0,0,3/6/2024
DESPERADOS,9,0,9,9,0,540,0,800,0,0,3/6/2024
M/STOUT,5,0,5,1,4,583,2332,900,3600,1268,3/6/2024
SMOOTH,5,0,5,5,0,583,0,900,0,0,3/6/2024
GOLDBERG,5,0,5,3,2,433,866,600,1200,334,3/6/2024
G/BLACK,3,0,3,0,3,0,0,700,2100,2100,3/6/2024
ORIGIN BEER,1,0,1,1,0,517,0,600,0,0,3/6/2024
BIG ICE,11,0,11,9,2,667,1334,900,1800,466,3/6/2024
TIGER,21,0,21,21,0,435,0,600,0,0,3/6/2024
STAR RAGLER,3,0,3,3,0,390,0,600,0,0,3/6/2024
STAR ,4,0,4,0,4,517,2068,700,2800,732,3/6/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/6/2024
LIFE,9,0,9,8,1,417,417,600,600,183,3/6/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/6/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/6/2024
TROPHY STOUT,0,0,0,0,0,542,0,700,0,0,3/6/2024
MALT,18,0,18,11,7,333,2331,500,3500,1169,3/6/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,3/6/2024
BUDWEISER,11,0,11,11,0,567,0,800,0,0,3/6/2024
TROPHY,12,12,24,9,15,417,6255,600,9000,2745,3/6/2024
HERO,0,12,12,11,1,417,417,700,700,283,3/6/2024
LEGEND,7,0,7,5,2,667,1334,900,1800,466,3/6/2024
HEINEKEN,14,0,14,10,4,667,2668,1000,4000,1332,3/6/2024
DESPERADOS,9,0,9,5,4,540,2160,800,3200,1040,3/6/2024
M/STOUT,1,18,19,16,3,583,1749,900,2700,951,3/6/2024
SMOOTH,5,0,5,5,0,583,0,900,0,0,3/6/2024
GOLDBERG,3,0,3,3,0,433,0,600,0,0,3/6/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/6/2024
ORIGIN BEER,1,0,1,1,0,517,0,600,0,0,3/6/2024
BIG ICE,9,0,9,7,2,667,1334,900,1800,466,3/6/2024
TIGER,20,0,20,20,0,435,0,600,0,0,3/6/2024
STAR RAGLER,3,0,3,1,2,390,780,600,1200,420,3/6/2024
STAR ,0,0,0,0,0,517,0,700,0,0,3/6/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,3/6/2024
LIFE,8,0,8,6,2,417,834,600,1200,366,3/6/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/6/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/6/2024
TROPHY STOUT,0,0,0,0,0,542,0,700,0,0,3/6/2024
MALT,11,0,11,0,11,333,3663,500,5500,1837,3/6/2024
FAYROUZ,0,24,24,21,3,300,900,400,1200,300,3/6/2024
BUDWEISER,11,0,11,11,0,567,0,800,0,0,3/6/2024
TROPHY,9,24,33,22,11,417,4587,600,6600,2013,3/7/2024
HERO,11,12,23,17,6,417,2502,700,4200,1698,3/7/2024
LEGEND,5,12,17,15,2,667,1334,900,1800,466,3/7/2024
HEINEKEN,10,0,10,10,0,667,0,1000,0,0,3/7/2024
DESPERADOS,5,0,5,1,4,540,2160,800,3200,1040,3/7/2024
M/STOUT,16,0,16,16,0,583,0,900,0,0,3/7/2024
SMOOTH,5,0,5,5,0,583,0,900,0,0,3/7/2024
GOLDBERG,3,12,15,13,2,433,866,600,1200,334,3/7/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/7/2024
ORIGIN BEER,1,0,1,1,0,517,0,600,0,0,3/7/2024
BIG ICE,7,0,7,4,3,667,2001,900,2700,699,3/7/2024
TIGER,20,0,20,19,1,435,435,600,600,165,3/7/2024
