DRINKS,OLD_STOCK,SUPPLY ,TOTAL_OLDSTOCK,NEWSTOCK,SOLD,PURCHASEPRICE,TOTALAMOUNT_PP,SELLINGPRICE,TOTALAMOUNT_SP,PROFIT,DATE
LIFE,10,0,10,7,3,417,1251,700,2100,849,3/23/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/23/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/23/2024
TROPHY STOUT,0,12,12,11,1,542,542,700,700,158,3/23/2024
MALT,0,24,24,21,3,333,999,500,1500,501,3/23/2024
FAYROUZ,0,0,0,0,0,300,0,500,0,0,3/23/2024
BUDWEISER,1,0,1,0,1,567,567,900,900,333,3/23/2024
CASTLE LITE,3,0,3,0,3,500,1500,700,2100,600,3/23/2024
TROPHY,7,12,19,13,6,417,2502,700,4200,1698,3/25/2024
HERO,6,12,18,12,6,417,2502,700,4200,1698,3/25/2024
LEGEND,9,0,9,9,0,667,0,1000,0,0,3/25/2024
HEINEKEN,10,0,10,10,0,667,0,1000,0,0,3/25/2024
DESPERADOS,18,0,18,17,1,540,540,900,900,360,3/25/2024
M/STOUT,15,0,15,10,5,583,2915,1000,5000,2085,3/25/2024
SMOOTH,1,0,1,1,0,583,0,900,0,0,3/25/2024
GOLDBERG,4,0,4,4,0,433,0,700,0,0,3/25/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/25/2024
ORIGIN BEER,0,0,0,0,0,517,0,600,0,0,3/25/2024
BIG ICE,10,0,10,8,2,667,1334,1000,2000,666,3/25/2024
TIGER,5,0,5,5,0,435,0,700,0,0,3/25/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,3/25/2024
STAR ,11,0,11,11,0,517,0,700,0,0,3/25/2024
STAR LITE,2,0,2,2,0,517,0,800,0,0,3/25/2024
LIFE,2,12,14,13,1,417,417,700,700,283,3/25/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/25/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/25/2024
TROPHY STOUT,7,0,7,7,0,542,0,700,0,0,3/25/2024
MALT,13,0,13,9,4,333,1332,500,2000,668,3/25/2024
FAYROUZ,11,0,11,10,1,300,300,500,500,200,3/25/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/25/2024
CASTLE LITE,0,0,0,0,0,500,0,700,0,0,3/25/2024
TROPHY,4,36,40,4,36,417,15012,700,25200,10188,3/31/2024
HERO,11,12,23,2,21,417,8757,700,14700,5943,3/31/2024
LEGEND,11,0,11,5,6,667,4002,1000,6000,1998,3/31/2024
HEINEKEN,7,12,19,12,7,667,4669,1000,7000,2331,3/31/2024
DESPERADOS,7,0,7,1,6,540,3240,900,5400,2160,3/31/2024
M/STOUT,0,18,18,0,18,583,10494,1000,18000,7506,3/31/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,3/31/2024
GOLDBERG,0,12,12,9,3,433,1299,700,2100,801,3/31/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/31/2024
ORIGIN BEER,1,0,1,1,0,517,0,600,0,0,3/31/2024
BIG ICE,11,12,23,9,14,667,9338,1000,14000,4662,3/31/2024
TIGER,0,20,20,15,5,435,2175,700,3500,1325,3/31/2024
STAR RAGLER,4,0,4,1,3,390,1170,600,1800,630,3/31/2024
STAR ,9,0,9,8,1,517,517,700,700,183,3/31/2024
STAR LITE,0,0,0,0,0,517,0,800,0,0,3/31/2024
LIFE,1,0,1,0,1,417,417,700,700,283,3/31/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/31/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/31/2024
TROPHY STOUT,8,12,20,9,11,542,5962,700,7700,1738,3/31/2024
MALT,11,24,35,3,32,333,10656,500,16000,5344,3/31/2024
FAYROUZ,3,24,27,22,5,300,1500,500,2500,1000,3/31/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/31/2024
CASTLE LITE,3,12,15,9,6,500,3000,700,4200,1200,3/31/2024
TROPHY,13,0,13,11,2,417,834,700,1400,566,3/26/2024
HERO,12,0,12,12,0,417,0,700,0,0,3/26/2024
LEGEND,9,0,9,5,4,667,2668,1000,4000,1332,3/26/2024
HEINEKEN,10,0,10,10,0,667,0,1000,0,0,3/26/2024
DESPERADOS,17,0,17,15,2,540,1080,900,1800,720,3/26/2024
M/STOUT,10,0,10,10,0,583,0,1000,0,0,3/26/2024
SMOOTH,1,0,1,0,1,583,583,900,900,317,3/26/2024
GOLDBERG,4,0,4,2,2,433,866,700,1400,534,3/26/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/26/2024
ORIGIN BEER,0,0,0,0,0,517,0,600,0,0,3/26/2024
BIG ICE,8,0,8,4,4,667,2668,1000,4000,1332,3/26/2024
TIGER,5,0,5,4,1,435,435,700,700,265,3/26/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,3/26/2024
STAR ,11,0,11,11,0,517,0,700,0,0,3/26/2024
STAR LITE,2,0,2,2,0,517,0,800,0,0,3/26/2024
LIFE,13,0,13,8,5,417,2085,700,3500,1415,3/26/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/26/2024
FLYING FISH,0,1,1,0,1,350,350,600,600,250,3/26/2024
TROPHY STOUT,7,0,7,7,0,542,0,700,0,0,3/26/2024
MALT,9,0,9,4,5,333,1665,500,2500,835,3/26/2024
FAYROUZ,10,0,10,10,0,300,0,500,0,0,3/26/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/26/2024
CASTLE LITE,0,0,0,0,0,500,0,700,0,0,3/26/2024
TROPHY,17,0,17,9,8,417,3336,700,5600,2264,3/28/2024
HERO,6,0,6,1,5,417,2085,700,3500,1415,3/28/2024
LEGEND,14,0,14,14,0,667,0,1000,0,0,3/28/2024
HEINEKEN,10,0,10,10,0,667,0,1000,0,0,3/28/2024
DESPERADOS,10,0,10,9,1,540,540,900,900,360,3/28/2024
M/STOUT,8,0,8,5,3,583,1749,1000,3000,1251,3/28/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,3/28/2024
GOLDBERG,1,12,13,10,3,433,1299,700,2100,801,3/28/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/28/2024
ORIGIN BEER,3,0,3,1,2,517,1034,700,1400,366,3/28/2024
BIG ICE,2,0,2,2,0,667,0,1000,0,0,3/28/2024
TIGER,4,0,4,3,1,435,435,700,700,265,3/28/2024
STAR RAGLER,8,0,8,7,1,390,390,600,600,210,3/28/2024
STAR ,11,0,11,11,0,517,0,700,0,0,3/28/2024
STAR LITE,2,0,2,2,0,517,0,800,0,0,3/28/2024
LIFE,5,0,5,2,3,417,1251,700,2100,849,3/28/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/28/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/28/2024
TROPHY STOUT,9,0,9,8,1,542,542,700,700,158,3/28/2024
MALT,14,0,14,4,10,333,3330,500,5000,1670,3/28/2024
FAYROUZ,10,0,10,6,4,300,1200,500,2000,800,3/28/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/28/2024
CASTLE LITE,7,0,7,2,5,500,2500,700,3500,1000,3/28/2024
TROPHY,9,12,21,16,5,417,2085,700,3500,1415,3/29/2024
HERO,1,12,13,12,1,417,417,700,700,283,3/29/2024
LEGEND,2,12,14,14,0,667,0,1000,0,0,3/29/2024
HEINEKEN,10,0,10,7,3,667,2001,1000,3000,999,3/29/2024
DESPERADOS,9,0,9,7,2,540,1080,900,1800,720,3/29/2024
M/STOUT,5,0,5,4,1,583,583,1000,1000,417,3/29/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,3/29/2024
GOLDBERG,10,0,10,5,5,433,2165,700,3500,1335,3/29/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/29/2024
ORIGIN BEER,1,2,3,2,1,517,517,600,600,83,3/29/2024
BIG ICE,2,12,14,12,2,667,1334,1000,2000,666,3/29/2024
TIGER,3,0,3,0,3,435,1305,700,2100,795,3/29/2024
STAR RAGLER,7,0,7,5,2,390,780,600,1200,420,3/29/2024
STAR ,8,0,8,9,-1,517,-517,700,-700,-183,3/29/2024
STAR LITE,2,0,2,0,2,517,1034,800,1600,566,3/29/2024
LIFE,2,0,2,2,0,417,0,700,0,0,3/29/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/29/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/29/2024
TROPHY STOUT,8,0,8,8,0,542,0,700,0,0,3/29/2024
MALT,4,24,28,20,8,333,2664,500,4000,1336,3/29/2024
FAYROUZ,6,0,6,6,0,300,0,500,0,0,3/29/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/29/2024
CASTLE LITE,2,12,14,9,5,500,2500,700,3500,1000,3/29/2024
TROPHY,16,0,16,4,12,417,5004,700,8400,3396,3/30/2024
HERO,12,0,12,11,1,417,417,700,700,283,3/30/2024
LEGEND,14,0,14,11,3,667,2001,1000,3000,999,3/30/2024
HEINEKEN,7,0,7,7,0,667,0,1000,0,0,3/30/2024
DESPERADOS,7,0,7,7,0,540,0,900,0,0,3/30/2024
M/STOUT,4,0,4,0,4,583,2332,1000,4000,1668,3/30/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,3/30/2024
GOLDBERG,5,0,5,0,5,433,2165,700,3500,1335,3/30/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/30/2024
ORIGIN BEER,2,0,2,1,1,517,517,700,700,183,3/30/2024
BIG ICE,12,0,12,11,1,667,667,1000,1000,333,3/30/2024
TIGER,0,0,0,0,0,435,0,700,0,0,3/30/2024
STAR RAGLER,5,0,5,4,1,390,390,600,600,210,3/30/2024
STAR ,9,0,9,9,0,517,0,700,0,0,3/30/2024
STAR LITE,0,0,0,0,0,517,0,800,0,0,3/30/2024
LIFE,2,0,2,1,1,417,417,700,700,283,3/30/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/30/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/30/2024
TROPHY STOUT,8,0,8,8,0,542,0,700,0,0,3/30/2024
MALT,20,0,20,12,8,333,2664,500,4000,1336,3/30/2024
FAYROUZ,6,0,6,3,3,300,900,500,1500,600,3/30/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/30/2024
CASTLE LITE,9,0,9,3,6,500,3000,700,4200,1200,3/30/2024
TROPHY,4,12,16,10,6,417,2502,700,4200,1698,4/1/2024
HERO,2,12,14,11,3,417,1251,700,2100,849,4/1/2024
LEGEND,4,12,16,14,2,667,1334,1000,2000,666,4/1/2024
HEINEKEN,12,0,12,12,0,667,0,1000,0,0,4/1/2024
DESPERADOS,1,20,21,21,0,540,0,900,0,0,4/1/2024
M/STOUT,0,18,18,18,0,583,0,1000,0,0,4/1/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,4/1/2024
GOLDBERG,9,0,9,4,5,433,2165,700,3500,1335,4/1/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/1/2024
ORIGIN BEER,1,0,1,1,0,517,0,700,0,0,4/1/2024
BIG ICE,9,0,9,9,0,667,0,1000,0,0,4/1/2024
TIGER,15,0,15,12,3,435,1305,700,2100,795,4/1/2024
STAR RAGLER,1,0,1,1,0,390,0,600,0,0,4/1/2024
STAR ,8,6,14,14,0,517,0,700,0,0,4/1/2024
STAR LITE,0,6,6,6,0,517,0,800,0,0,4/1/2024
LIFE,0,12,12,12,0,417,0,700,0,0,4/1/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/1/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,4/1/2024
TROPHY STOUT,9,,9,8,1,542,542,700,700,158,4/1/2024
MALT,3,24,27,19,8,333,2664,500,4000,1336,4/1/2024
FAYROUZ,22,0,22,17,5,300,1500,500,2500,1000,4/1/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/1/2024
CASTLE LITE,9,0,9,0,9,500,4500,700,6300,1800,4/1/2024
TROPHY,1,12,13,10,3,417,1251,700,2100,849,4/3/2024
HERO,8,0,8,2,6,417,2502,700,4200,1698,4/3/2024
LEGEND,13,0,13,13,0,667,0,1000,0,0,4/3/2024
HEINEKEN,8,0,8,3,5,667,3335,1000,5000,1665,4/3/2024
DESPERADOS,17,0,17,14,3,540,1620,900,2700,1080,4/3/2024
M/STOUT,16,0,16,13,3,583,1749,1000,3000,1251,4/3/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,4/3/2024
GOLDBERG,0,12,12,12,0,433,0,700,0,0,4/3/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/3/2024
ORIGIN BEER,1,0,1,1,0,517,0,700,0,0,4/3/2024
BIG ICE,6,0,6,5,1,667,667,1000,1000,333,4/3/2024
TIGER,12,0,12,10,2,435,870,700,1400,530,4/3/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,4/3/2024
STAR ,14,0,14,14,0,517,0,700,0,0,4/3/2024
STAR LITE,5,0,5,3,2,517,1034,800,1600,566,4/3/2024
LIFE,12,0,12,9,3,417,1251,700,2100,849,4/3/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/3/2024
FLYING FISH,9,0,9,9,0,350,0,600,0,0,4/3/2024
TROPHY STOUT,8,0,8,8,0,542,0,700,0,0,4/3/2024
MALT,9,0,9,0,9,333,2997,500,4500,1503,4/3/2024
FAYROUZ,17,0,17,15,2,300,600,500,1000,400,4/3/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/3/2024
CASTLE LITE,9,0,9,9,0,500,0,700,0,0,4/3/2024
TROPHY,10,0,10,4,6,417,2502,700,4200,1698,4/5/2024
HERO,2,0,2,1,1,417,417,700,700,283,4/5/2024
LEGEND,11,0,11,11,0,667,0,1000,0,0,4/5/2024
HEINEKEN,2,0,2,2,0,667,0,1000,0,0,4/5/2024
DESPERADOS,14,0,14,13,1,540,540,900,900,360,4/5/2024
M/STOUT,3,0,3,1,2,583,1166,1000,2000,834,4/5/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,4/5/2024
GOLDBERG,8,0,8,6,2,433,866,700,1400,534,4/5/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/5/2024
ORIGIN BEER,1,0,1,1,0,517,0,700,0,0,4/5/2024
BIG ICE,5,0,5,2,3,667,2001,1000,3000,999,4/5/2024
TIGER,8,0,8,8,0,435,0,700,0,0,4/5/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,4/5/2024
STAR ,10,0,10,10,0,517,0,700,0,0,4/5/2024
STAR LITE,3,0,3,3,0,517,0,800,0,0,4/5/2024
LIFE,8,0,8,8,0,417,0,700,0,0,4/5/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/5/2024
FLYING FISH,9,0,9,9,0,350,0,600,0,0,4/5/2024
TROPHY STOUT,6,0,6,5,1,542,542,700,700,158,4/5/2024
MALT,10,0,10,7,3,333,999,500,1500,501,4/5/2024
FAYROUZ,12,0,12,11,1,300,300,500,500,200,4/5/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/5/2024
CASTLE LITE,5,0,5,4,1,500,500,700,700,200,4/5/2024
TROPHY,4,12,16,1,15,417,6255,700,10500,4245,4/6/2024
HERO,1,0,1,0,1,417,417,700,700,283,4/6/2024
LEGEND,11,0,11,9,2,667,1334,1000,2000,666,4/6/2024
HEINEKEN,2,12,14,11,3,667,2001,1000,3000,999,4/6/2024
DESPERADOS,12,0,12,11,1,540,540,900,900,360,4/6/2024
M/STOUT,1,18,19,15,4,583,2332,1000,4000,1668,4/6/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,4/6/2024
GOLDBERG,6,12,18,15,3,433,1299,700,2100,801,4/6/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/6/2024
ORIGIN BEER,1,0,1,1,0,517,0,700,0,0,4/6/2024
BIG ICE,1,12,13,6,7,667,4669,1000,7000,2331,4/6/2024
TIGER,8,0,8,3,5,435,2175,700,3500,1325,4/6/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,4/6/2024
STAR ,10,0,10,10,0,517,0,700,0,0,4/6/2024
STAR LITE,3,0,3,3,0,517,0,800,0,0,4/6/2024
LIFE,8,0,8,6,2,417,834,700,1400,566,4/6/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/6/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,4/6/2024
TROPHY STOUT,5,0,5,4,1,542,542,700,700,158,4/6/2024
MALT,7,24,31,24,7,333,2331,500,3500,1169,4/6/2024
FAYROUZ,11,0,11,9,2,300,600,500,1000,400,4/6/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/6/2024
CASTLE LITE,4,12,16,13,3,500,1500,700,2100,600,4/6/2024
TROPHY,11,12,23,17,6,417,2502,700,4200,1698,3/27/2024
HERO,12,0,12,6,6,417,2502,700,4200,1698,3/27/2024
LEGEND,5,0,5,5,0,667,0,1000,0,0,3/27/2024
HEINEKEN,10,0,10,10,0,667,0,1000,0,0,3/27/2024
DESPERADOS,15,0,15,10,5,540,2700,900,4500,1800,3/27/2024
M/STOUT,10,0,10,8,2,583,1166,1000,2000,834,3/27/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,3/27/2024
GOLDBERG,2,0,2,1,1,433,433,700,700,267,3/27/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,3/27/2024
ORIGIN BEER,0,3,3,3,0,517,0,600,0,0,3/27/2024
BIG ICE,4,0,4,2,2,667,1334,1000,2000,666,3/27/2024
TIGER,4,0,4,4,0,435,0,700,0,0,3/27/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,3/27/2024
STAR ,11,0,11,11,0,517,0,700,0,0,3/27/2024
STAR LITE,2,0,2,2,0,517,0,800,0,0,3/27/2024
LIFE,8,0,8,5,3,417,1251,700,2100,849,3/27/2024
GULDER,0,0,0,0,0,542,0,700,0,0,3/27/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,3/27/2024
TROPHY STOUT,7,12,19,9,10,542,5420,700,7000,1580,3/27/2024
MALT,4,24,28,16,12,333,3996,500,6000,2004,3/27/2024
FAYROUZ,11,0,11,11,0,300,0,500,0,0,3/27/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,3/27/2024
CASTLE LITE,0,12,12,7,5,500,2500,700,3500,1000,3/27/2024
TROPHY,10,0,10,1,9,417,3753,700,6300,2547,4/2/2024
HERO,11,0,11,8,3,417,1251,700,2100,849,4/2/2024
LEGEND,14,0,14,13,1,667,667,1000,1000,333,4/2/2024
HEINEKEN,12,0,12,8,4,667,2668,1000,4000,1332,4/2/2024
DESPERADOS,21,0,21,17,4,540,2160,900,3600,1440,4/2/2024
M/STOUT,18,0,18,16,2,583,1166,1000,2000,834,4/2/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,4/2/2024
GOLDBERG,4,0,4,0,4,433,1732,700,2800,1068,4/2/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/2/2024
ORIGIN BEER,1,0,1,1,0,517,0,700,0,0,4/2/2024
BIG ICE,9,0,9,6,3,667,2001,1000,3000,999,4/2/2024
TIGER,12,0,12,12,0,435,0,700,0,0,4/2/2024
STAR RAGLER,1,0,1,0,1,390,390,600,600,210,4/2/2024
STAR ,14,0,14,14,0,517,0,700,0,0,4/2/2024
STAR LITE,6,0,6,5,1,517,517,800,800,283,4/2/2024
LIFE,12,0,12,12,0,417,0,700,0,0,4/2/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/2/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,4/2/2024
TROPHY STOUT,8,0,8,8,0,542,0,700,0,0,4/2/2024
MALT,20,0,20,10,10,333,3330,500,5000,1670,4/2/2024
FAYROUZ,17,0,17,17,0,300,0,500,0,0,4/2/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/2/2024
CASTLE LITE,0,12,12,9,3,500,1500,700,2100,600,4/2/2024
TROPHY,1,24,25,5,20,417,8340,700,14000,5660,4/7/2024
HERO,0,0,0,0,0,417,0,700,0,0,4/7/2024
LEGEND,9,0,9,3,6,667,4002,1000,6000,1998,4/7/2024
HEINEKEN,11,12,23,17,6,667,4002,1000,6000,1998,4/7/2024
DESPERADOS,11,0,11,11,0,540,0,900,0,0,4/7/2024
M/STOUT,15,0,15,15,0,583,0,1000,0,0,4/7/2024
SMOOTH,0,0,0,0,0,583,0,900,0,0,4/7/2024
GOLDBERG,15,0,15,11,4,433,1732,700,2800,1068,4/7/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/7/2024
ORIGIN BEER,1,0,1,1,0,517,0,700,0,0,4/7/2024
BIG ICE,6,12,18,10,8,667,5336,1000,8000,2664,4/7/2024
TIGER,3,20,23,19,4,435,1740,700,2800,1060,4/7/2024
STAR RAGLER,0,0,0,0,0,390,0,600,0,0,4/7/2024
STAR ,10,0,10,10,0,517,0,700,0,0,4/7/2024
STAR LITE,3,0,3,3,0,517,0,800,0,0,4/7/2024
LIFE,6,0,6,4,2,417,834,700,1400,566,4/7/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/7/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,4/7/2024
TROPHY STOUT,4,0,4,2,2,542,1084,700,1400,316,4/7/2024
MALT,24,0,24,8,16,333,5328,500,8000,2672,4/7/2024
FAYROUZ,9,0,9,9,0,300,0,500,0,0,4/7/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/7/2024
CASTLE LITE,13,0,13,0,13,500,6500,700,9100,2600,4/7/2024
TROPHY,0,0,0,0,0,417,0,700,0,0,4/9/2024
HERO,0,0,0,0,0,417,0,700,0,0,4/9/2024
LEGEND,14,0,14,13,1,667,667,1000,1000,333,4/9/2024
HEINEKEN,15,0,15,11,4,667,2668,1000,4000,1332,4/9/2024
DESPERADOS,11,0,11,10,1,540,540,900,900,360,4/9/2024
M/STOUT,15,0,15,11,4,583,2332,1000,4000,1668,4/9/2024
SMOOTH,0,5,5,5,0,583,0,900,0,0,4/9/2024
GOLDBERG,7,0,7,1,6,433,2598,700,4200,1602,4/9/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,4/9/2024
ORIGIN BEER,1,0,1,0,1,517,517,600,600,83,4/9/2024
BIG ICE,0,0,0,0,0,667,0,1000,0,0,4/9/2024
TIGER,12,0,12,11,1,435,435,700,700,265,4/9/2024
STAR RAGLER,0,5,5,5,0,390,0,600,0,0,4/9/2024
STAR ,10,0,10,10,0,517,0,700,0,0,4/9/2024
STAR LITE,12,0,12,7,5,517,2585,800,4000,1415,4/9/2024
LIFE,4,12,16,10,6,417,2502,700,4200,1698,4/9/2024
GULDER,0,0,0,0,0,542,0,700,0,0,4/9/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,4/9/2024
TROPHY STOUT,0,0,0,0,0,542,0,700,0,0,4/9/2024
MALT,0,24,24,15,9,333,2997,500,4500,1503,4/9/2024
FAYROUZ,9,0,9,7,2,300,600,500,1000,400,4/9/2024
BUDWEISER,0,0,0,0,0,567,0,900,0,0,4/9/2024
CASTLE LITE,0,0,0,0,0,500,0,700,0,0,4/9/2024
